frame, steps, L_IAS, L_IPS, R_IAS, R_IPS, R_FLE, R_FME, R_FTC, R_FAL, R_FAX, R_TAM, R_TTC, R_FCC, R_FM1, R_FM2, R_FM5, L_FLE, L_FME, L_FTC, L_FAL, L_FAX, L_TAM, L_TTC, L_FCC, L_FM1, L_FM2, L_FM5, LV1, LV3, MAI, SXS, CV7, SJN, TV2, L_HEAD, R_HEAD, SGL, R_HLE, R_HUM, R_SAE, R_RSP, R_USP, R_HM2, L_HLE, L_HUM, L_SAE, L_RSP, L_USP, L_HM2
10, 200, 0.00624629, 0.0549311, 0.0185301, 0.0564148, 0.0472342, 0.0228265, 0.0403192, 0.0187764, 0.0267603, 0.0211185, 0.0430499, 0.0365084, 0.0223602, 0.0331616, 0.0256574, 0.0429799, 0.0326725, 0.0294295, 0.02218, 0.0364125, 0.0228613, 0.0506168, 0.0362199, 0.0197972, 0.0274397, 0.0215349, 0.0250123, 0.0249233, 0.0461834, 0.0296683, 0.0401123, 0.0344566, 0.0370889, 0.027771, 0.0440054, 0.0298706, 0.0837108, 0.0637062, 0.024504, 0.0280619, 0.0181684, 0.0187, 0.0748599, 0.0747078, 0.0420639, 0.0241785, 0.0104193, 0.0118603
11, 200, 0.00622366, 0.0549713, 0.0184977, 0.0564352, 0.0472132, 0.0228146, 0.0402715, 0.0187956, 0.0267639, 0.0211415, 0.0430639, 0.0365398, 0.0223262, 0.0331815, 0.0255821, 0.0429829, 0.032664, 0.0294271, 0.0221804, 0.0364138, 0.0228688, 0.0506585, 0.0362112, 0.0197934, 0.0274228, 0.0215261, 0.0250828, 0.0249382, 0.046307, 0.0295722, 0.0401225, 0.0344362, 0.037094, 0.0276781, 0.0439688, 0.0298788, 0.0837329, 0.0636963, 0.0245489, 0.0280343, 0.0181643, 0.0186965, 0.0749973, 0.0747618, 0.0420764, 0.0241194, 0.0104229, 0.0117767
12, 200, 0.00617809, 0.0550177, 0.0184711, 0.0564403, 0.0472104, 0.0228332, 0.0403055, 0.0188004, 0.0267864, 0.0211519, 0.0430695, 0.0365538, 0.0223554, 0.0331646, 0.0255947, 0.0429673, 0.0326382, 0.0293969, 0.0221536, 0.036388, 0.0228567, 0.0506343, 0.0362172, 0.0197889, 0.0274401, 0.0215205, 0.0250939, 0.0249115, 0.0463705, 0.0294967, 0.0401273, 0.0344053, 0.0370898, 0.0275891, 0.0439025, 0.0297889, 0.083748, 0.0636663, 0.0245399, 0.0280187, 0.0181164, 0.0186768, 0.0749353, 0.0748211, 0.0421503, 0.0240301, 0.0103737, 0.0117444
13, 200, 0.0061361, 0.0550409, 0.0184482, 0.0564597, 0.0472011, 0.0228309, 0.0402995, 0.0187741, 0.0267935, 0.0211317, 0.0430357, 0.0365612, 0.0223602, 0.0331989, 0.0255992, 0.0429786, 0.0326292, 0.0294063, 0.0221832, 0.0363877, 0.0228552, 0.0506402, 0.0361867, 0.0197828, 0.0274312, 0.0215189, 0.0251104, 0.0249374, 0.0464549, 0.0295058, 0.0401946, 0.0343409, 0.0371916, 0.0275043, 0.0434634, 0.0298264, 0.0837237, 0.0636719, 0.0245759, 0.0279727, 0.0180924, 0.0186639, 0.0749568, 0.0748584, 0.0422096, 0.0239789, 0.0102841, 0.0116593
14, 200, 0.00609579, 0.0550571, 0.0184085, 0.0564841, 0.0471991, 0.0228396, 0.0402874, 0.018798, 0.0267984, 0.0211391, 0.0430818, 0.0365619, 0.0223712, 0.0331993, 0.0256095, 0.0429704, 0.0326082, 0.0294212, 0.0221448, 0.0364209, 0.0228606, 0.0506273, 0.0361803, 0.019773, 0.027412, 0.0215261, 0.0251358, 0.024895, 0.04654, 0.0294322, 0.0401833, 0.034316, 0.0371718, 0.0274287, 0.0434569, 0.0298418, 0.0837379, 0.0636476, 0.0245703, 0.0279476, 0.0181014, 0.0186511, 0.0750254, 0.0749092, 0.0422837, 0.0238915, 0.0100968, 0.0116497
15, 200, 0.00605006, 0.0551177, 0.0183387, 0.0564794, 0.0472138, 0.0228643, 0.040299, 0.018773, 0.0268082, 0.0210995, 0.0430293, 0.0365111, 0.0223851, 0.0331802, 0.0256895, 0.0429605, 0.0325734, 0.0294017, 0.0221639, 0.036427, 0.0228525, 0.0506549, 0.0361829, 0.0197792, 0.0273961, 0.0215242, 0.0251349, 0.0249446, 0.0465833, 0.0294073, 0.0401845, 0.0342647, 0.0371796, 0.0273383, 0.0434737, 0.0299164, 0.0837583, 0.0636496, 0.0246079, 0.027938, 0.0180639, 0.0186535, 0.0751573, 0.0749317, 0.042351, 0.0238293, 0.0101268, 0.01154
16, 200, 0.00602788, 0.0549932, 0.0182705, 0.0564262, 0.047179, 0.0228533, 0.0403013, 0.018765, 0.0268003, 0.0211151, 0.0430536, 0.0365676, 0.0223585, 0.0332204, 0.0255941, 0.0429527, 0.0325571, 0.0294142, 0.0221388, 0.0364191, 0.0228359, 0.0506216, 0.036188, 0.019771, 0.0274009, 0.0215132, 0.0250766, 0.0249107, 0.0466669, 0.0294112, 0.0401418, 0.0342969, 0.0371439, 0.0272514, 0.0437871, 0.0298926, 0.0838002, 0.0635623, 0.0246363, 0.0279395, 0.0181036, 0.0186712, 0.0751719, 0.0750096, 0.0424613, 0.0237935, 0.00997655, 0.0115
17, 200, 0.00599152, 0.0550419, 0.0182619, 0.0564832, 0.0471817, 0.0228624, 0.0402809, 0.0187678, 0.026792, 0.0211172, 0.0430364, 0.0365455, 0.0223535, 0.0332226, 0.025606, 0.0429458, 0.0325272, 0.0294194, 0.0221528, 0.0364223, 0.0228257, 0.0506149, 0.0361382, 0.019772, 0.0273843, 0.0215197, 0.025092, 0.0248954, 0.0466642, 0.0294251, 0.0402111, 0.0342366, 0.0372119, 0.0271459, 0.043402, 0.0299112, 0.0838119, 0.0635259, 0.0246498, 0.0279094, 0.0180583, 0.0186849, 0.0751778, 0.0750216, 0.0425027, 0.0237402, 0.0099024, 0.0114368
18, 200, 0.0062389, 0.0549348, 0.0185312, 0.0563516, 0.0471806, 0.0228286, 0.0402415, 0.0187623, 0.0267478, 0.0211282, 0.0430044, 0.0365155, 0.0223667, 0.0332086, 0.0255969, 0.0429262, 0.0325349, 0.0293309, 0.0221192, 0.036356, 0.0228238, 0.050555, 0.0361437, 0.0197646, 0.0274133, 0.021497, 0.0249602, 0.0249598, 0.0468468, 0.0293497, 0.0402135, 0.0342044, 0.0372189, 0.0271049, 0.043369, 0.0299468, 0.0838169, 0.0635331, 0.0246292, 0.0278842, 0.0180394, 0.0186813, 0.0752034, 0.0750481, 0.0425297, 0.0236855, 0.00983081, 0.0113954
19, 200, 0.00589772, 0.05502, 0.0181506, 0.0564306, 0.0471575, 0.0229017, 0.0402991, 0.0187721, 0.0267828, 0.0211112, 0.0430229, 0.0365284, 0.0223806, 0.0332142, 0.025612, 0.0429118, 0.0324663, 0.029405, 0.02214, 0.0364203, 0.0228252, 0.050613, 0.0361343, 0.0197843, 0.0274053, 0.0215007, 0.0250872, 0.0248418, 0.0467023, 0.0294809, 0.0402021, 0.0341849, 0.0372379, 0.0270687, 0.0433268, 0.0299781, 0.0838104, 0.0635201, 0.0246308, 0.0278961, 0.0179931, 0.01871, 0.0752231, 0.0750711, 0.0425594, 0.0236631, 0.00978226, 0.0113809
20, 200, 0.00616947, 0.0549406, 0.018423, 0.0563788, 0.0471611, 0.0228722, 0.0402544, 0.0187533, 0.0267466, 0.0210864, 0.0429905, 0.0365278, 0.0223806, 0.0332334, 0.0255919, 0.0429144, 0.0324823, 0.0293623, 0.0221405, 0.0363407, 0.0228352, 0.0505714, 0.0360951, 0.0197601, 0.0273888, 0.0215036, 0.0249302, 0.0248969, 0.0469093, 0.0294101, 0.0402149, 0.0341651, 0.0372557, 0.0270506, 0.0433285, 0.0300001, 0.0838335, 0.0635273, 0.0246284, 0.0278874, 0.0179965, 0.0187219, 0.0752587, 0.0750856, 0.0425754, 0.0236202, 0.00980266, 0.0113864
