frame, steps, L_IAS, L_IPS, R_IAS, R_IPS, R_FLE, R_FME, R_FTC, R_FAL, R_FAX, R_TAM, R_TTC, R_FCC, R_FM1, R_FM2, R_FM5, L_FLE, L_FME, L_FTC, L_FAL, L_FAX, L_TAM, L_TTC, L_FCC, L_FM1, L_FM2, L_FM5, LV1, LV3, MAI, SXS, CV7, SJN, TV2, L_HEAD, R_HEAD, SGL, R_HLE, R_HUM, R_SAE, R_RSP, R_USP, R_HM2, L_HLE, L_HUM, L_SAE, L_RSP, L_USP, L_HM2
470, 200, 0.0140446, 0.0200431, 0.0117997, 0.0205566, 0.0132817, 0.0116813, 0.00749187, 0.00921835, 0.00810371, 0.00642794, 0.00894825, 0.00946546, 0.00640106, 0.00486246, 0.00437641, 0.0106665, 0.011579, 0.00661324, 0.00737545, 0.00821032, 0.00639415, 0.00885874, 0.00882695, 0.00580398, 0.00550511, 0.00357926, 0.0258246, 0.0204018, 0.0579298, 0.0451962, 0.0263188, 0.0467823, 0.0136804, 0.0208154, 0.0346617, 0.013529, 0.0846108, 0.0667402, 0.0283421, 0.0285537, 0.0178546, 0.0160347, 0.0759613, 0.0769772, 0.0448015, 0.020984, 0.00772865, 0.00873353
471, 200, 0.014143, 0.0200472, 0.0118403, 0.0205572, 0.0131661, 0.0116381, 0.00750817, 0.00912735, 0.00805929, 0.00642633, 0.00892463, 0.00946247, 0.00638151, 0.0048906, 0.00440286, 0.0105696, 0.0114575, 0.00653979, 0.00735261, 0.00814452, 0.00632815, 0.00878703, 0.00876333, 0.00577352, 0.00543204, 0.00351688, 0.0258742, 0.0203933, 0.0580125, 0.0452657, 0.0263449, 0.0467127, 0.0138112, 0.0204407, 0.0343787, 0.0134782, 0.0845794, 0.0667248, 0.028503, 0.028367, 0.0178242, 0.016023, 0.0760597, 0.0771548, 0.0451003, 0.020934, 0.00715183, 0.00802981
472, 200, 0.0142163, 0.0201123, 0.0118946, 0.0206481, 0.0130221, 0.0115848, 0.00744008, 0.00908236, 0.00803916, 0.00637178, 0.00886261, 0.00940566, 0.00635215, 0.00493396, 0.00442022, 0.0104542, 0.0113107, 0.00645096, 0.00725248, 0.00808063, 0.00629302, 0.008721, 0.00867117, 0.00572235, 0.00540081, 0.00345447, 0.0257936, 0.0204095, 0.0580657, 0.0453287, 0.0264124, 0.0467343, 0.0138695, 0.0201576, 0.0341614, 0.0135498, 0.0845697, 0.0667333, 0.0287123, 0.0282487, 0.0177087, 0.0158708, 0.0760281, 0.0771862, 0.0452533, 0.0208723, 0.00685033, 0.00785199
473, 200, 0.0143219, 0.020155, 0.011955, 0.0206734, 0.012889, 0.0115549, 0.007379, 0.0089838, 0.00799048, 0.00633685, 0.00882584, 0.00938158, 0.00633259, 0.00498277, 0.00443746, 0.0103507, 0.0111737, 0.00634411, 0.00719916, 0.0080046, 0.00621322, 0.00859741, 0.00861297, 0.00566101, 0.0053385, 0.00340472, 0.0256627, 0.0204686, 0.0581005, 0.045369, 0.0264912, 0.0467216, 0.0139886, 0.0198803, 0.0338945, 0.0136293, 0.0845547, 0.066734, 0.0288606, 0.0280057, 0.0175948, 0.015773, 0.0759338, 0.0772034, 0.0453548, 0.0206922, 0.00665379, 0.00777321
474, 200, 0.0143814, 0.0201692, 0.0119514, 0.0207703, 0.0127464, 0.0115321, 0.00730508, 0.0089374, 0.00795171, 0.00637084, 0.00879838, 0.00934601, 0.00632257, 0.00503987, 0.00446125, 0.0102557, 0.011039, 0.00624861, 0.00714012, 0.00791826, 0.00618069, 0.00844575, 0.00856397, 0.00560634, 0.0052731, 0.00332146, 0.0257939, 0.0205001, 0.0582264, 0.0455053, 0.026524, 0.0468028, 0.0140803, 0.0190712, 0.0336166, 0.0135557, 0.0843963, 0.0667065, 0.0290026, 0.0278498, 0.0175322, 0.0155861, 0.0759164, 0.0772129, 0.0454646, 0.0205407, 0.00643507, 0.00770066
475, 200, 0.0144307, 0.0201571, 0.0119441, 0.0207667, 0.0126142, 0.011517, 0.00732602, 0.00886752, 0.00794776, 0.00635086, 0.00874288, 0.0093072, 0.006298, 0.00507577, 0.00449257, 0.0101639, 0.0109008, 0.00619797, 0.00707093, 0.00787566, 0.00613649, 0.00836921, 0.00850168, 0.00554533, 0.00518817, 0.00327997, 0.0258408, 0.0205453, 0.0583092, 0.0455653, 0.0265362, 0.046743, 0.0141579, 0.018952, 0.0333708, 0.0136861, 0.0844032, 0.0667377, 0.0290868, 0.0276735, 0.0175155, 0.0154598, 0.0758625, 0.0772912, 0.0455541, 0.0204008, 0.00632232, 0.00754763
476, 200, 0.014537, 0.0201886, 0.0120077, 0.0207514, 0.0125049, 0.011527, 0.00732815, 0.00882133, 0.00794156, 0.00637138, 0.00871272, 0.00929751, 0.0062866, 0.00513391, 0.00453592, 0.0100847, 0.0107668, 0.00615641, 0.00702426, 0.00777599, 0.00611257, 0.00829163, 0.00843643, 0.00548744, 0.00511482, 0.00319571, 0.0260546, 0.020514, 0.0584797, 0.0456775, 0.0266137, 0.0467073, 0.0142703, 0.0187609, 0.033045, 0.0137797, 0.0843966, 0.0667597, 0.0291147, 0.0276527, 0.0177075, 0.015472, 0.0758577, 0.0773613, 0.0456248, 0.0203944, 0.00619266, 0.00760147
477, 200, 0.0146258, 0.0202142, 0.0120145, 0.0207528, 0.0124126, 0.0115414, 0.00728525, 0.00880404, 0.00790587, 0.00635951, 0.0086566, 0.00930962, 0.00627779, 0.0051861, 0.00458466, 0.00999342, 0.0106134, 0.0060783, 0.00696317, 0.00769152, 0.00603346, 0.00825019, 0.00837867, 0.00542787, 0.0050447, 0.00314867, 0.0262073, 0.0205572, 0.0584472, 0.0456788, 0.0266595, 0.0467127, 0.0144063, 0.0186249, 0.0328169, 0.0140288, 0.0844058, 0.0668283, 0.0292531, 0.0275815, 0.0176512, 0.0154749, 0.0758904, 0.0774062, 0.0456875, 0.0203515, 0.00615151, 0.0075329
478, 200, 0.0146624, 0.0202949, 0.0120311, 0.020811, 0.012332, 0.0115687, 0.007266, 0.00875135, 0.00792107, 0.00634441, 0.00862764, 0.00932093, 0.00628626, 0.00525552, 0.00461128, 0.00988703, 0.0104503, 0.00602002, 0.00690797, 0.00760034, 0.00600739, 0.00825778, 0.00829823, 0.00534786, 0.00496818, 0.00305381, 0.0261523, 0.0205922, 0.0584288, 0.0457063, 0.0267038, 0.0467031, 0.0144639, 0.0184975, 0.0325752, 0.0140469, 0.0843376, 0.0668897, 0.029406, 0.0275141, 0.0176381, 0.0152061, 0.075902, 0.0774295, 0.0457696, 0.0202974, 0.00608218, 0.00744534
479, 200, 0.0147505, 0.0203568, 0.0120976, 0.0208881, 0.0122501, 0.0115952, 0.00726925, 0.00872449, 0.00790615, 0.00634623, 0.00862288, 0.0092958, 0.00626334, 0.00529074, 0.00464968, 0.00982094, 0.0103284, 0.00597626, 0.00686588, 0.00748246, 0.00595234, 0.00813161, 0.00825328, 0.00528874, 0.00485764, 0.00296403, 0.0260716, 0.0206623, 0.0584134, 0.0456619, 0.0267738, 0.0466457, 0.0145716, 0.0184178, 0.0323338, 0.0142495, 0.0844138, 0.0668988, 0.0295327, 0.0274169, 0.0176433, 0.015172, 0.0759028, 0.0774823, 0.0458382, 0.0202605, 0.00603127, 0.00747937
480, 200, 0.0148314, 0.0203956, 0.012107, 0.0208329, 0.0122063, 0.011629, 0.00725741, 0.00870649, 0.00792597, 0.00632976, 0.00866132, 0.00930809, 0.0062689, 0.00537635, 0.00469876, 0.00975228, 0.010205, 0.00590996, 0.00682369, 0.00742695, 0.00592003, 0.00801538, 0.00818878, 0.00522337, 0.00477502, 0.00294283, 0.0261832, 0.020739, 0.0584229, 0.0456362, 0.0268202, 0.0465879, 0.0146765, 0.018364, 0.0321853, 0.014511, 0.0844752, 0.0669316, 0.0296017, 0.0273306, 0.0175789, 0.015168, 0.0759736, 0.0776403, 0.0458826, 0.0202188, 0.00600673, 0.00747086
481, 200, 0.0149158, 0.0204412, 0.01214, 0.020873, 0.0121806, 0.0116618, 0.00725166, 0.00866644, 0.0079416, 0.0063508, 0.00868671, 0.00929803, 0.00628752, 0.00546288, 0.00476124, 0.00969141, 0.0100844, 0.0058343, 0.00677011, 0.00737502, 0.0058856, 0.00791077, 0.00817134, 0.00515604, 0.00470696, 0.00284951, 0.0262925, 0.0208278, 0.0583883, 0.0455505, 0.0268636, 0.0465687, 0.0147681, 0.0182888, 0.0320156, 0.014639, 0.0845163, 0.0669932, 0.0296218, 0.0272924, 0.0175601, 0.0150665, 0.0759842, 0.0776806, 0.0458944, 0.0202193, 0.00607709, 0.00749535
482, 200, 0.0149325, 0.0204737, 0.012133, 0.0208545, 0.0121523, 0.0116982, 0.00726206, 0.00862701, 0.0079546, 0.00634467, 0.00874089, 0.00936168, 0.00631613, 0.00553338, 0.00480124, 0.009634, 0.00997209, 0.00582207, 0.00674025, 0.00732252, 0.00586856, 0.00782575, 0.00814552, 0.00511444, 0.00463327, 0.00280571, 0.0264358, 0.0208673, 0.0583457, 0.0455565, 0.0268989, 0.0464576, 0.0148944, 0.0182579, 0.0318968, 0.0148123, 0.0845122, 0.0670398, 0.0296487, 0.0272702, 0.0175506, 0.0150425, 0.0760438, 0.0777084, 0.0459256, 0.0202979, 0.00614379, 0.00741424
483, 200, 0.0149741, 0.0205148, 0.0121182, 0.0208669, 0.0121297, 0.0117263, 0.00725974, 0.00862673, 0.00799459, 0.00637244, 0.00880935, 0.00936505, 0.00631587, 0.00558539, 0.00483184, 0.0095788, 0.00986721, 0.0057558, 0.00675343, 0.00729304, 0.00581789, 0.00774642, 0.00811895, 0.00505699, 0.00456876, 0.00273706, 0.0266055, 0.0209259, 0.0582473, 0.0455102, 0.0269133, 0.0463872, 0.0149639, 0.0182522, 0.031754, 0.0150807, 0.084544, 0.0670339, 0.029682, 0.0272625, 0.0175392, 0.0150638, 0.0760966, 0.0777477, 0.0459548, 0.0203451, 0.00608074, 0.00749601
484, 200, 0.0149824, 0.020573, 0.0121202, 0.0209169, 0.0121242, 0.0117638, 0.00729829, 0.0086304, 0.0080325, 0.00639698, 0.00885154, 0.00939228, 0.00633584, 0.00567011, 0.00487019, 0.00951299, 0.0097762, 0.00572133, 0.00671983, 0.00721237, 0.00583156, 0.00771597, 0.00813272, 0.00502797, 0.00451448, 0.00267958, 0.0266689, 0.0210127, 0.0582248, 0.0454256, 0.0268917, 0.0464415, 0.0150361, 0.0183119, 0.0315955, 0.0152014, 0.0846757, 0.0670032, 0.029725, 0.0272604, 0.0175899, 0.0149975, 0.0761821, 0.0777468, 0.0460098, 0.0203442, 0.00614961, 0.0076168
485, 200, 0.015051, 0.0206515, 0.0121925, 0.0209815, 0.0121362, 0.0118063, 0.00734971, 0.00863442, 0.00809587, 0.00638037, 0.00886419, 0.00942336, 0.00633663, 0.00573384, 0.00491998, 0.00945824, 0.00969726, 0.0057006, 0.00671786, 0.00716712, 0.0058038, 0.00765559, 0.00812877, 0.00500874, 0.00444986, 0.00264842, 0.0266658, 0.021111, 0.0581154, 0.0453055, 0.0269772, 0.0464824, 0.0151256, 0.0184265, 0.0315159, 0.0153491, 0.0847998, 0.0670299, 0.0296846, 0.0273021, 0.0175771, 0.0150434, 0.0762642, 0.0777611, 0.0459929, 0.0204212, 0.00634928, 0.00765072
486, 200, 0.014825, 0.0208298, 0.0119342, 0.0210231, 0.012139, 0.0118701, 0.00740177, 0.00870719, 0.00815405, 0.0064209, 0.00889108, 0.00944714, 0.00634972, 0.00575899, 0.00492774, 0.0093909, 0.00961907, 0.00572174, 0.00673304, 0.00716048, 0.00587807, 0.00760113, 0.00813668, 0.00491043, 0.00434833, 0.00261257, 0.0267079, 0.0211335, 0.0580823, 0.0452258, 0.0269662, 0.0464587, 0.0151115, 0.0184757, 0.0314485, 0.0155239, 0.084838, 0.0670613, 0.0296684, 0.0273443, 0.0175796, 0.0150445, 0.0763054, 0.0777852, 0.046083, 0.0206067, 0.00637794, 0.0076884
487, 200, 0.014845, 0.020862, 0.01195, 0.0210696, 0.0121421, 0.0119014, 0.00740356, 0.00868217, 0.0081794, 0.00642061, 0.00892851, 0.00948516, 0.00638512, 0.00581184, 0.00496913, 0.00935973, 0.00956668, 0.00572831, 0.00671859, 0.00711795, 0.00583829, 0.00753969, 0.00814322, 0.00486609, 0.00430474, 0.00254073, 0.0267448, 0.021201, 0.0580169, 0.0450941, 0.0269658, 0.0464094, 0.0151624, 0.018573, 0.0313849, 0.0157998, 0.0848742, 0.067047, 0.0295587, 0.0274156, 0.0175641, 0.0150294, 0.0763184, 0.0777878, 0.0460582, 0.0207507, 0.00644876, 0.00770424
488, 200, 0.0148319, 0.0208902, 0.0120482, 0.0210741, 0.0121384, 0.0119376, 0.00746793, 0.00866452, 0.00824503, 0.00641772, 0.00890824, 0.009509, 0.00637451, 0.00587199, 0.00499356, 0.00932169, 0.00950713, 0.00565743, 0.00670902, 0.00708953, 0.00577463, 0.0075174, 0.00813222, 0.00482745, 0.00430576, 0.00250546, 0.0268614, 0.0212803, 0.0579536, 0.0450016, 0.0269815, 0.0463886, 0.0152421, 0.0186143, 0.0313233, 0.0161536, 0.0849575, 0.0670887, 0.0296527, 0.0274146, 0.0173135, 0.0150617, 0.0763252, 0.0778061, 0.0460028, 0.0208542, 0.00665235, 0.00778918
489, 200, 0.0148325, 0.020911, 0.0120874, 0.0210795, 0.0121308, 0.0119776, 0.00751926, 0.00867684, 0.00828635, 0.00641753, 0.00892323, 0.00953162, 0.00639607, 0.00590974, 0.00502863, 0.00929227, 0.00946167, 0.0055986, 0.00681544, 0.00708042, 0.00575725, 0.00749688, 0.0081343, 0.00474149, 0.0042523, 0.00248118, 0.0269982, 0.0213652, 0.0578796, 0.044919, 0.0270436, 0.046419, 0.0153115, 0.0187171, 0.0312443, 0.0163279, 0.0850278, 0.0671012, 0.0295632, 0.0275261, 0.0173768, 0.0150804, 0.0763915, 0.0778499, 0.0460161, 0.0210261, 0.00670136, 0.00788691
490, 200, 0.0148709, 0.0209848, 0.0121251, 0.0211227, 0.0121095, 0.0119997, 0.00775796, 0.0086213, 0.00831129, 0.00642375, 0.0089328, 0.00954019, 0.00639104, 0.00598266, 0.00504929, 0.00922292, 0.00940467, 0.00551655, 0.0068063, 0.00703172, 0.00574313, 0.00750883, 0.00813304, 0.00472976, 0.00421921, 0.00245591, 0.0271027, 0.0214299, 0.0577921, 0.0449081, 0.0270459, 0.0465076, 0.0153389, 0.0188287, 0.0311817, 0.0164656, 0.0850904, 0.0670969, 0.0294862, 0.0276315, 0.0173644, 0.0150917, 0.0764335, 0.0778126, 0.0459773, 0.0212164, 0.00682154, 0.0079636
491, 200, 0.0148703, 0.021054, 0.0120892, 0.021171, 0.0120654, 0.0120266, 0.00782924, 0.00863002, 0.00832535, 0.00642491, 0.00892891, 0.00955721, 0.00639836, 0.00602843, 0.0050809, 0.00914106, 0.0093305, 0.00545055, 0.00683653, 0.00700546, 0.00571532, 0.00746723, 0.00813494, 0.00467005, 0.00417015, 0.00240402, 0.0272376, 0.0214873, 0.0577754, 0.0448478, 0.0271182, 0.0465951, 0.0153893, 0.0189751, 0.0311364, 0.0165763, 0.0853846, 0.0668838, 0.029606, 0.027724, 0.017409, 0.0150872, 0.0764645, 0.0777566, 0.0459069, 0.0214334, 0.00710328, 0.00799189
492, 200, 0.014924, 0.0210752, 0.0121592, 0.0211335, 0.0120079, 0.0120575, 0.00788622, 0.00863856, 0.00833646, 0.00642644, 0.00894638, 0.00960138, 0.00637684, 0.00608432, 0.00510355, 0.00904137, 0.00924724, 0.00539029, 0.00683203, 0.0069779, 0.00570341, 0.0074546, 0.00814314, 0.00461095, 0.00412434, 0.00236899, 0.027285, 0.0215023, 0.0577659, 0.0450445, 0.0271053, 0.0466431, 0.0153955, 0.0191368, 0.0310847, 0.0167303, 0.0854153, 0.0668958, 0.0295525, 0.0278763, 0.0175322, 0.0151079, 0.0764787, 0.0777548, 0.0459036, 0.0216486, 0.0072497, 0.00814499
493, 200, 0.0150337, 0.0210982, 0.0121732, 0.0212183, 0.0119413, 0.0120944, 0.00793599, 0.00862156, 0.00836702, 0.006463, 0.00897579, 0.009623, 0.0064093, 0.00611994, 0.00512272, 0.0089571, 0.00918485, 0.00539758, 0.00686052, 0.00695403, 0.005675, 0.00740364, 0.0081522, 0.00453902, 0.00407601, 0.00229117, 0.0272325, 0.0215791, 0.0577206, 0.0449664, 0.0271471, 0.0466885, 0.0154048, 0.0198516, 0.0310581, 0.0168117, 0.0855746, 0.0670054, 0.0294557, 0.0280505, 0.0175914, 0.0152411, 0.0765311, 0.07774, 0.0458597, 0.0218446, 0.00746704, 0.00830899
494, 200, 0.0151449, 0.0211475, 0.0122584, 0.0212921, 0.0118503, 0.0121214, 0.00798691, 0.00867375, 0.00834613, 0.00644821, 0.00897007, 0.00966377, 0.0064142, 0.00615408, 0.00513217, 0.00886095, 0.0091134, 0.00536958, 0.00690563, 0.00691228, 0.0056574, 0.00733434, 0.00818606, 0.00446946, 0.00400746, 0.00223561, 0.0272386, 0.0216204, 0.0577643, 0.0449718, 0.0271487, 0.0468262, 0.0153998, 0.0200195, 0.031031, 0.0169579, 0.0856682, 0.0670027, 0.0293393, 0.0282081, 0.0176946, 0.0153478, 0.0765908, 0.0777148, 0.0458133, 0.0220521, 0.00770499, 0.00844087
495, 200, 0.0151491, 0.0211377, 0.0122832, 0.021307, 0.0117681, 0.0121756, 0.00803989, 0.00869881, 0.00839028, 0.00646538, 0.00897678, 0.00970816, 0.00641482, 0.00617246, 0.00513291, 0.00879357, 0.00904652, 0.00549806, 0.00690291, 0.00688042, 0.00566437, 0.00727371, 0.00815568, 0.00441911, 0.00395479, 0.00222382, 0.027365, 0.0216744, 0.0578998, 0.0450193, 0.0271552, 0.0469496, 0.015359, 0.0202262, 0.0309861, 0.0171484, 0.0857623, 0.0670026, 0.0291928, 0.0283917, 0.0177883, 0.0154978, 0.0766199, 0.0776892, 0.0456969, 0.0223068, 0.00789098, 0.00866897
496, 200, 0.0149756, 0.021239, 0.0122472, 0.0214702, 0.0116283, 0.012209, 0.00805017, 0.00873286, 0.00830766, 0.00649671, 0.00904372, 0.009736, 0.00639664, 0.00612661, 0.00511179, 0.00875668, 0.00898273, 0.0055366, 0.00687429, 0.00683211, 0.00559368, 0.00721233, 0.00818232, 0.00436957, 0.00393015, 0.00218117, 0.0273679, 0.0216945, 0.0579678, 0.0451415, 0.0271914, 0.0471005, 0.0153264, 0.0203546, 0.030977, 0.0172405, 0.0858541, 0.0669937, 0.0290107, 0.0285755, 0.017893, 0.015562, 0.0766551, 0.0776401, 0.0456312, 0.0225764, 0.00810736, 0.00874155
497, 200, 0.0149364, 0.0213162, 0.0122066, 0.0216044, 0.0115351, 0.01229, 0.00815758, 0.00878143, 0.00833347, 0.00652891, 0.00905926, 0.00985354, 0.0063964, 0.00611546, 0.00508545, 0.00874035, 0.0089485, 0.00557115, 0.00686066, 0.00682471, 0.00567143, 0.00720659, 0.00820081, 0.0043468, 0.00391623, 0.00211445, 0.0273425, 0.0218196, 0.0578986, 0.0456862, 0.0272064, 0.0471361, 0.0153256, 0.0205106, 0.0309342, 0.017303, 0.0859313, 0.0670512, 0.0289451, 0.0287791, 0.0179834, 0.0156565, 0.0767048, 0.0776538, 0.0455179, 0.0227743, 0.00834441, 0.00912862
498, 200, 0.0149095, 0.0212767, 0.0122429, 0.0215843, 0.0114324, 0.0123501, 0.00819, 0.00878675, 0.00834911, 0.00652774, 0.00913096, 0.00984803, 0.00637489, 0.00611593, 0.00509153, 0.00867238, 0.00890039, 0.00561094, 0.00688468, 0.00680951, 0.00564786, 0.00718583, 0.00824194, 0.00428549, 0.00383668, 0.00211804, 0.0276653, 0.0218514, 0.0581176, 0.0458174, 0.0272503, 0.0472923, 0.0152952, 0.0207518, 0.0309391, 0.0173627, 0.0859983, 0.0670885, 0.0287692, 0.0289481, 0.0180708, 0.0158345, 0.0766845, 0.0775327, 0.0453085, 0.0229934, 0.00885558, 0.00959819
499, 200, 0.0149173, 0.02129, 0.0122372, 0.0216165, 0.0113064, 0.0123879, 0.00818925, 0.00879363, 0.00835994, 0.00656766, 0.00912887, 0.00986069, 0.00634579, 0.00611241, 0.00508173, 0.0085862, 0.00883329, 0.00563045, 0.00689467, 0.00676297, 0.00568121, 0.00717994, 0.00823783, 0.004233, 0.00375843, 0.00207679, 0.027669, 0.0219365, 0.0582316, 0.0459259, 0.0273008, 0.0474692, 0.0152337, 0.0209287, 0.0309691, 0.0173987, 0.085994, 0.0670965, 0.028615, 0.0291149, 0.0182129, 0.0159285, 0.0766601, 0.077509, 0.0452363, 0.0232339, 0.00911227, 0.00976427
500, 200, 0.0149167, 0.0212515, 0.0122679, 0.0215842, 0.0112032, 0.0124384, 0.00825584, 0.00879125, 0.00835684, 0.00657959, 0.00912894, 0.00994411, 0.00634158, 0.00610657, 0.00506096, 0.00850968, 0.00877387, 0.00567367, 0.00690913, 0.00672931, 0.00570035, 0.00714752, 0.00827633, 0.00420086, 0.00372482, 0.00201127, 0.0277876, 0.0220147, 0.0583798, 0.0460407, 0.0273091, 0.0475661, 0.0151838, 0.0210701, 0.0309982, 0.0175544, 0.086077, 0.0670847, 0.0284427, 0.0292846, 0.0183395, 0.0160007, 0.0766374, 0.0774991, 0.0451687, 0.0234171, 0.00935981, 0.00999582
501, 200, 0.0149074, 0.0212539, 0.0123012, 0.0215693, 0.0110873, 0.0124726, 0.00830813, 0.00880295, 0.00834997, 0.00659977, 0.00920409, 0.00993161, 0.0063184, 0.00610108, 0.00505816, 0.00843526, 0.00872237, 0.00571345, 0.00691668, 0.00674284, 0.00570767, 0.00711379, 0.0082921, 0.00413896, 0.00365218, 0.00199684, 0.0279297, 0.0220415, 0.0585134, 0.046102, 0.0273444, 0.0477271, 0.0151672, 0.0212627, 0.0310238, 0.0176014, 0.0861023, 0.0670783, 0.028364, 0.0294027, 0.0184027, 0.0161297, 0.0766616, 0.0774989, 0.0451193, 0.0236387, 0.00954566, 0.0100839
502, 200, 0.0148929, 0.0212352, 0.0123043, 0.0215437, 0.0109822, 0.0125054, 0.00837128, 0.0087948, 0.00835, 0.00662628, 0.00918667, 0.00994166, 0.00630284, 0.00609208, 0.0050596, 0.00837285, 0.0086794, 0.00575516, 0.00691464, 0.00671765, 0.00570664, 0.00707312, 0.00832123, 0.00411611, 0.00359308, 0.00195924, 0.028029, 0.0221221, 0.0586559, 0.0461699, 0.0273743, 0.0478887, 0.0151426, 0.0214698, 0.0310433, 0.0177178, 0.086127, 0.067121, 0.0281869, 0.0295674, 0.0185633, 0.016243, 0.0766818, 0.0774614, 0.0450643, 0.0238934, 0.00972973, 0.0102729
503, 200, 0.0148112, 0.0212435, 0.0123206, 0.0215291, 0.0108751, 0.0125362, 0.0084007, 0.00879499, 0.00833041, 0.00664901, 0.00918796, 0.00995801, 0.00629969, 0.00606706, 0.00503437, 0.00820128, 0.00856592, 0.00582109, 0.00700001, 0.00673065, 0.00574391, 0.00709241, 0.0083972, 0.0040915, 0.00350881, 0.00189247, 0.0281004, 0.0221669, 0.058814, 0.0463409, 0.0273515, 0.0480745, 0.0150986, 0.0216467, 0.0311158, 0.0178481, 0.0861994, 0.067102, 0.0280503, 0.0297489, 0.0186433, 0.0163848, 0.0767162, 0.0774547, 0.0449911, 0.0240644, 0.0099464, 0.0104729
504, 200, 0.0147996, 0.0211534, 0.0122991, 0.0214404, 0.0107743, 0.0125593, 0.00847769, 0.00877686, 0.00833658, 0.00664211, 0.00918833, 0.00994402, 0.00628732, 0.00605242, 0.00502706, 0.00814459, 0.00852682, 0.00585514, 0.00695363, 0.00672841, 0.00578393, 0.00709433, 0.0083802, 0.00404422, 0.00343569, 0.00186914, 0.0281898, 0.022175, 0.0588928, 0.0463711, 0.0273831, 0.048241, 0.0150638, 0.0217785, 0.0310953, 0.0190264, 0.086326, 0.0671628, 0.0280125, 0.0299136, 0.0187884, 0.0164396, 0.0767939, 0.0774691, 0.044963, 0.0243023, 0.0101788, 0.0105756
505, 200, 0.014756, 0.0210864, 0.0122509, 0.0213989, 0.0107111, 0.0126087, 0.00850936, 0.00881027, 0.0083205, 0.00664886, 0.00921671, 0.00999013, 0.00629723, 0.00606008, 0.00501709, 0.00808565, 0.008489, 0.00588685, 0.00698521, 0.00667109, 0.00575963, 0.0071121, 0.00840221, 0.00403055, 0.0033899, 0.00183577, 0.0282658, 0.0222016, 0.0590498, 0.0464507, 0.027427, 0.0483405, 0.015003, 0.0219482, 0.0311277, 0.0193142, 0.0863376, 0.0671569, 0.0279206, 0.0301884, 0.018891, 0.0165156, 0.0768648, 0.0774981, 0.0449341, 0.0243913, 0.01036, 0.0107253
506, 200, 0.0146932, 0.0211141, 0.0121642, 0.0213833, 0.0106475, 0.0126576, 0.00855321, 0.00883478, 0.00831036, 0.00669225, 0.00923781, 0.0100171, 0.00629319, 0.00602855, 0.00499025, 0.00804745, 0.00846811, 0.0059297, 0.00699291, 0.00663609, 0.00582062, 0.00717182, 0.00842377, 0.00397914, 0.00334204, 0.00181505, 0.0283101, 0.0222604, 0.0592516, 0.0466214, 0.0274597, 0.0484832, 0.0149507, 0.0220299, 0.03124, 0.01942, 0.0863803, 0.0671814, 0.0278796, 0.0302973, 0.0190144, 0.0166964, 0.0772142, 0.0774281, 0.0450105, 0.0244588, 0.010573, 0.0108156
507, 200, 0.0146786, 0.0210698, 0.0121164, 0.0213586, 0.0105913, 0.0127048, 0.00859811, 0.00881481, 0.00828767, 0.00669593, 0.00927458, 0.0100424, 0.00628043, 0.00602127, 0.00498785, 0.00811373, 0.00850627, 0.00592986, 0.006945, 0.00659969, 0.00572749, 0.00714223, 0.00842448, 0.00394622, 0.00331642, 0.0018144, 0.0283559, 0.0222714, 0.0593273, 0.0466538, 0.0274434, 0.0485776, 0.0149179, 0.0221254, 0.0312087, 0.0194744, 0.0863407, 0.0671688, 0.0277484, 0.0303585, 0.0191037, 0.0167927, 0.0768796, 0.0774788, 0.0448998, 0.0246906, 0.0107205, 0.0109829
508, 200, 0.0146172, 0.0209772, 0.0119617, 0.0212938, 0.0105623, 0.0127483, 0.00862464, 0.0088538, 0.00829961, 0.00672768, 0.00929077, 0.0101138, 0.006305, 0.00603254, 0.00499382, 0.00808948, 0.00849387, 0.00597836, 0.00693802, 0.006607, 0.00573741, 0.007112, 0.00845725, 0.00394024, 0.00329105, 0.00179339, 0.0285271, 0.0223224, 0.059519, 0.0467908, 0.0274258, 0.0487, 0.0148781, 0.0222283, 0.0312908, 0.0197366, 0.0863836, 0.0672199, 0.0277126, 0.03052, 0.0192238, 0.0168913, 0.077274, 0.0774919, 0.0450803, 0.0247429, 0.0107197, 0.0108354
509, 200, 0.0145774, 0.0210272, 0.0118921, 0.0213098, 0.0105083, 0.0127688, 0.00869322, 0.00886888, 0.00831529, 0.00674498, 0.0092659, 0.0101185, 0.00627716, 0.00602137, 0.0049813, 0.00808001, 0.00848038, 0.00601263, 0.00694663, 0.00659037, 0.00575059, 0.00715449, 0.00845817, 0.00390816, 0.00326264, 0.00181653, 0.028395, 0.0223446, 0.0596601, 0.0468975, 0.02744, 0.0487583, 0.0148344, 0.022398, 0.0313831, 0.0198165, 0.0863399, 0.0672689, 0.0276899, 0.0306354, 0.0192506, 0.0169194, 0.0773214, 0.0774661, 0.0450723, 0.0248508, 0.0108636, 0.0109225
